N° Edição|Ano|Data|Município|Entidade|Categoria|Documento|Arquivo|URL|Identificador
5458|2.025|28/11/2025|Avelino Lopes|Prefeitura|Licitacao|Licitacao PE 011-25 Contrato 044-25 Aditivo 01|DM_5458_031_Avelino_Lopes_Licitacao_PE_011-25_Contrato_044-25_Aditivo_01_pag_605.pdf|http://www.diarioficialdosmunicipios.org/intranet/_lib/file/doc/pdfs/novo2/5458/DM_5458_031_Avelino_Lopes_Licitacao_PE_011-25_Contrato_044-25_Aditivo_01_pag_605.pdf|0CC5650E4F64CCB4
5459|2.025|01/12/2025|Avelino Lopes|Prefeitura|Licitacao|Licitacao Concorrencia Eletronica 007-25 Aviso|DM_5459_020_Avelino_Lopes_Licitacao_Concorrencia_Eletronica_007-25_Aviso_pag_361.pdf|http://www.diarioficialdosmunicipios.org/intranet/_lib/file/doc/pdfs/novo2/5459/DM_5459_020_Avelino_Lopes_Licitacao_Concorrencia_Eletronica_007-25_Aviso_pag_361.pdf|10EF3302FF132408
5459|2.025|01/12/2025|Avelino Lopes|Prefeitura|Licitacao|Licitacao Dispensa 020-25 Extrato Contrato 092-25|DM_5459_021_Avelino_Lopes_Licitacao_Dispensa_020-25_Extrato_Contrato_092-25_pag_361.pdf|http://www.diarioficialdosmunicipios.org/intranet/_lib/file/doc/pdfs/novo2/5459/DM_5459_021_Avelino_Lopes_Licitacao_Dispensa_020-25_Extrato_Contrato_092-25_pag_361.pdf|13B5BDF3BA272BB7
5461|2.025|03/12/2025|Avelino Lopes|Prefeitura|Decreto|Decreto 060-25 Credito Suplementar|DM_5461_038_Avelino_Lopes_Decreto_060-25_Credito_Suplementar_pag_128.pdf|http://www.diarioficialdosmunicipios.org/intranet/_lib/file/doc/pdfs/novo2/5461/DM_5461_038_Avelino_Lopes_Decreto_060-25_Credito_Suplementar_pag_128.pdf|0B621D5019D90CEC
5461_B|2.025|03/12/2025|Avelino Lopes|Prefeitura|LRF|LRF RREO 5 Bimestre 2025 ANEXO 01 BO|DM_5461_B_013_Avelino_Lopes_LRF_RREO_5_Bimestre_2025_ANEXO_01_BO_pag_147.pdf|http://www.diarioficialdosmunicipios.org/intranet/_lib/file/doc/pdfs/novo2/5461_B/DM_5461_B_013_Avelino_Lopes_LRF_RREO_5_Bimestre_2025_ANEXO_01_BO_pag_147.pdf|125278A9ED8B0C45
5461_B|2.025|03/12/2025|Avelino Lopes|Prefeitura|LRF|LRF RREO 5 Bimestre 2025 ANEXO 02 FUNCAO|DM_5461_B_014_Avelino_Lopes_LRF_RREO_5_Bimestre_2025_ANEXO_02_FUNCAO_pag_149.pdf|http://www.diarioficialdosmunicipios.org/intranet/_lib/file/doc/pdfs/novo2/5461_B/DM_5461_B_014_Avelino_Lopes_LRF_RREO_5_Bimestre_2025_ANEXO_02_FUNCAO_pag_149.pdf|0CC562C877630C51
5461_B|2.025|03/12/2025|Avelino Lopes|Prefeitura|LRF|LRF RREO 5 Bimestre 2025 ANEXO 03 RCL|DM_5461_B_015_Avelino_Lopes_LRF_RREO_5_Bimestre_2025_ANEXO_03_RCL_pag_150.pdf|http://www.diarioficialdosmunicipios.org/intranet/_lib/file/doc/pdfs/novo2/5461_B/DM_5461_B_015_Avelino_Lopes_LRF_RREO_5_Bimestre_2025_ANEXO_03_RCL_pag_150.pdf|05D5076EA3B10C66
5461_B|2.025|03/12/2025|Avelino Lopes|Prefeitura|LRF|LRF RREO 5 Bimestre 2025 ANEXO 04 RPPS|DM_5461_B_016_Avelino_Lopes_LRF_RREO_5_Bimestre_2025_ANEXO_04_RPPS_pag_151.pdf|http://www.diarioficialdosmunicipios.org/intranet/_lib/file/doc/pdfs/novo2/5461_B/DM_5461_B_016_Avelino_Lopes_LRF_RREO_5_Bimestre_2025_ANEXO_04_RPPS_pag_151.pdf|0471C1F646270C77
5461_B|2.025|03/12/2025|Avelino Lopes|Prefeitura|LRF|LRF RREO 5 Bimestre 2025 ANEXO 06 PRIMARIO E NOMINAL|DM_5461_B_017_Avelino_Lopes_LRF_RREO_5_Bimestre_2025_ANEXO_06_PRIMARIO_E_NOMINAL_pag_154.pdf|http://www.diarioficialdosmunicipios.org/intranet/_lib/file/doc/pdfs/novo2/5461_B/DM_5461_B_017_Avelino_Lopes_LRF_RREO_5_Bimestre_2025_ANEXO_06_PRIMARIO_E_NOMINAL_pag_154.pdf|167C491306290C83
5461_B|2.025|03/12/2025|Avelino Lopes|Prefeitura|LRF|LRF RREO 5 Bimestre 2025 ANEXO 07 RESTOS A PAGAR|DM_5461_B_018_Avelino_Lopes_LRF_RREO_5_Bimestre_2025_ANEXO_07_RESTOS_A_PAGAR_pag_155.pdf|http://www.diarioficialdosmunicipios.org/intranet/_lib/file/doc/pdfs/novo2/5461_B/DM_5461_B_018_Avelino_Lopes_LRF_RREO_5_Bimestre_2025_ANEXO_07_RESTOS_A_PAGAR_pag_155.pdf|0E28A840D4ED0C99
